ID    |TERMINO                       |CF    |DF    
--------------------------------------------------
0     | 1                            |16    |1     
1     | 10                           |1     |1     
2     | 1500                         |1     |1     
3     | 16                           |1     |1     
4     | 1604                         |1     |1     
5     | 1614                         |1     |1     
6     | 1615                         |1     |1     
7     | 17                           |1     |1     
8     | 1999                         |1     |1     
9     | 2                            |1     |1     
10    | 20                           |1     |1     
11    | 2000                         |2     |1     
12    | 2001                         |1     |1     
13    | 2010                         |1     |1     
14    | 23                           |1     |1     
15    | 27                           |1     |1     
16    | 3                            |3     |1     
17    | 30                           |1     |1     
18    | 4                            |3     |1     
19    | 4557                         |1     |1     
20    | 5                            |1     |1     
21    | 50                           |1     |1     
22    | 501                          |1     |1     
23    | 60                           |1     |1     
24    | 84116                        |1     |1     
25    | 90                           |2     |1     
26    | 99712                        |1     |1     
27    |000                           |1     |1     
28    |2000                          |1     |1     
29    |501                           |1     |1     
30    |596-1887                      |1     |1     
31    |64-6221541                    |1     |1     
32    |801                           |1     |1     
33    |809                           |1     |1     
34    |A.B.C.                        |1     |1     
35    |Abela.                        |2     |1     
36    |Agi Morato                    |7     |1     
37    |Agramante.                    |1     |1     
38    |Ah Luscinda                   |1     |1     
39    |Ah Sancho                     |1     |1     
40    |Aldonza Lorenzo               |6     |1     
41    |Aldonza Nogales               |1     |1     
42    |Alejandro Ma                  |1     |1     
43    |Alejandros.                   |1     |1     
44    |Alonso Quijano                |5     |1     
45    |Altisidora.                   |4     |1     
46    |Amezqueta.                    |1     |1     
47    |Amiga Teresa                  |1     |1     
48    |Amigo Sancho Panza            |1     |1     
49    |Amor.                         |1     |1     
50    |Andaba Anselmo                |1     |1     
51    |Andaba Sancho                 |1     |1     
52    |Andrada.                      |1     |1     
53    |Anselmo.                      |3     |1     
54    |Antequera.                    |1     |1     
55    |Antonia Quijana               |2     |1     
56    |Antonio Moreno                |6     |1     
57    |Antonio.                      |1     |1     
58    |Apeles.                       |1     |1     
59    |Archive Foundation            |1     |1     
60    |Ardiente Espada               |2     |1     
61    |Argel.                        |1     |1     
62    |Ariosto.                      |1     |1     
63    |Arlanza.                      |1     |1     
64    |Arremangado Brazo             |2     |1     
65    |Augustinus.                   |1     |1     
66    |Ausencia.                     |1     |1     
67    |Ay Dios                       |2     |1     
68    |Ayude Dios                    |1     |1     
69    |Barataria.                    |4     |1     
70    |Barba Blanca                  |1     |1     
71    |Barbarroja.                   |1     |1     
72    |Barcelona.                    |2     |1     
73    |Basilio.                      |5     |1     
74    |Bayardo.                      |1     |1     
75    |Belerma.                      |1     |1     
76    |Bella.                        |1     |1     
77    |Benengeli.                    |1     |1     
78    |Blanca Barba                  |2     |1     
79    |Blanca Luna                   |15    |1     
80    |Blanco.                       |1     |1     
81    |Books.                        |2     |1     
82    |Bosque.                       |2     |1     
83    |Bradamante.                   |1     |1     
84    |Brunelo.                      |1     |1     
85    |Bueno.                        |2     |1     
86    |Camacho.                      |2     |1     
87    |Camila.                       |6     |1     
88    |Campeador.                    |1     |1     
89    |Cardenio.                     |3     |1     
90    |Carlo Quinto                  |1     |1     
91    |Carlomagno Carlomagno         |1     |1     
92    |Carlomagno.                   |1     |1     
93    |Carlos Quinto                 |1     |1     
94    |Carrasco.                     |6     |1     
95    |Cartagena.                    |1     |1     
96    |Casa Otomana                  |1     |1     
97    |Casa Santa                    |1     |1     
98    |Cascajo.                      |1     |1     
99    |Caño Dorado                   |1     |1     
100   |Cervantes Saavedra            |9     |1     
101   |Cetina.                       |1     |1     
102   |Chief Executive               |1     |1     
103   |Cid Ruy                       |3     |1     
104   |Cide Hamete                   |16    |1     
105   |Cide Hamete Benengeli         |6     |1     
106   |Cide Hamete Berenjena         |1     |1     
107   |Cide Mahamate Benengeli       |1     |1     
108   |Ciudad Real                   |1     |1     
109   |Clara Perlerina               |1     |1     
110   |Clara.                        |4     |1     
111   |Claudia Jer                   |2     |1     
112   |Clenardo.                     |1     |1     
113   |Comendador Griego             |1     |1     
114   |Como Rocinante                |1     |1     
115   |Compluto.                     |1     |1     
116   |Consejo Real                  |1     |1     
117   |Contreras.                    |1     |1     
118   |Corchuelo.                    |1     |1     
119   |Costantinopla.                |1     |1     
120   |Cruel Vireno                  |4     |1     
121   |Cruz.                         |2     |1     
122   |Cuando Cardenio               |1     |1     
123   |Cuando Dios                   |1     |1     
124   |Cuando Sancho                 |5     |1     
125   |Cuando Sancho Panza           |1     |1     
126   |Cuenta Cide Hamete            |1     |1     
127   |Cuenta Cide Hamete Benengeli  |2     |1     
128   |Curiambro.                    |1     |1     
129   |De Dios                       |1     |1     
130   |De Madrid                     |1     |1     
131   |De Reinaldos                  |1     |1     
132   |De Rold                       |1     |1     
133   |Decid Sarra                   |1     |1     
134   |Desconocida.                  |1     |1     
135   |Desdenes.                     |1     |1     
136   |Dice Cide Hamete              |1     |1     
137   |Dido.                         |1     |1     
138   |Diego Garc                    |6     |1     
139   |Diego.                        |2     |1     
140   |Dije.                         |1     |1     
141   |Dijo Sancho                   |1     |1     
142   |Dijo Tosilos                  |1     |1     
143   |Dios Nuestro Señor            |4     |1     
144   |Dios.                         |6     |1     
145   |Divina Escritura              |3     |1     
146   |Doce Pares                    |6     |1     
147   |Doctor Gutierre               |1     |1     
148   |Dolorida.                     |1     |1     
149   |Don Antonio                   |3     |1     
150   |Don Antonio Moreno            |1     |1     
151   |Don Belian                    |1     |1     
152   |Don Cirongilio                |2     |1     
153   |Don Diego                     |1     |1     
154   |Don Fernando                  |2     |1     
155   |Don Gregorio                  |2     |1     
156   |Don Luis                      |1     |1     
157   |Don Olivante                  |1     |1     
158   |Don Paralipomen               |1     |1     
159   |Don Quijote                   |75    |1     
160   |Don Rugel                     |1     |1     
161   |Don Sancho                    |1     |1     
162   |Donde Sancho Panza            |1     |1     
163   |Dorotea.                      |6     |1     
164   |Doña Rodr                     |1     |1     
165   |Dr.                           |2     |1     
166   |Dueña Dolorida                |1     |1     
167   |Dulcinea.                     |14    |1     
168   |Duque.                        |1     |1     
169   |Duquesa.                      |1     |1     
170   |Durandarte.                   |1     |1     
171   |El Caballero                  |4     |1     
172   |El Caballero Platir           |1     |1     
173   |El Cancionero                 |1     |1     
174   |El Diablo                     |1     |1     
175   |El Monserrato                 |1     |1     
176   |El Panza                      |1     |1     
177   |El Pastor                     |2     |1     
178   |Elena.                        |1     |1     
179   |En Dios                       |1     |1     
180   |En Florencia                  |1     |1     
181   |En Madrid                     |2     |1     
182   |Encerrada Leandra             |1     |1     
183   |Entonces Clara                |1     |1     
184   |Entonces Sancho               |1     |1     
185   |Entonces Sancho Panza         |1     |1     
186   |Entra Cide Hamete             |1     |1     
187   |Esa Ang                       |1     |1     
188   |Esa Teresa Panza              |1     |1     
189   |Escritura Divina              |1     |1     
190   |Ese Sancho                    |1     |1     
191   |Eso Dios                      |1     |1     
192   |Espejos.                      |2     |1     
193   |Esta Dulcinea                 |1     |1     
194   |Estaba Cardenio               |1     |1     
195   |Estaba Sancho                 |2     |1     
196   |Estaba Sancho Panza           |1     |1     
